Internship_ID,Title,Company,Description,Required_Education,Sector,Location,Skill_1,Skill_2,Skill_3,Skill_4
149,Travel Operations Intern,JCB INDIA LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Pune,Booking Systems,Itinerary Planning,Vendor Management,
150,HR Generalist Intern,DILIP BUILDCON LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
151,Marketing Intern,MARICO LIMITED,"Assist in creating social media campaigns, writing blog posts, and analyzing marketing data.",BBA,Marketing,Work From Home,Social Media Marketing,Content Writing,SEO,
152,Process Engineer Intern,INTERNATIONAL TRACTORS LIMITED,Analyze and improve manufacturing processes for efficiency and quality.,B.Tech (Chem),Manufacturing,Work From Home,Process Optimization,Chemical Engineering,AutoCAD,
153,Product Design Intern,POLYCAB INDIA LIMITED,"Contribute to the end-to-end design process, from user research to final UI.",B.Des/Any Graduate,Design,Work From Home,User Research,Prototyping,UI Design,
154,Recruitment Intern,DELOITTE CONSULTING INDIA PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Noida,Sourcing,Interviewing,Applicant Tracking Systems,
155,R&D Intern,HSBC SOFTWARE DEVELOPMENT (INDIA) PRIVATE LIMITED,Assist scientists in research and development of new pharmaceutical products.,M.Pharm/M.Sc,Pharmaceuticals,Hyderabad,Laboratory Techniques,Data Analysis,Scientific Writing,
156,Business Intelligence Intern,TORRENT POWER LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
157,Real Estate Analyst Intern,AUROBINDO PHARMA LTD,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Work From Home,Financial Modeling,Market Analysis,Real Estate Valuation,
158,Consumer Electronics Intern,RAIL VIKAS NIGAM LIMITED,"Assist in product marketing, market research, or technical support for home appliances or electronics.",BBA,Electronics,Hyderabad,Marketing,Product Management,,
159,Travel Operations Intern,L G ELECTRONICS INDIA PRIVATE LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Ahmedabad,Booking Systems,Itinerary Planning,Vendor Management,
160,Business Intelligence Intern,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Bengaluru,Power BI,Tableau,SQL,Data Warehousing
161,Digital Marketing Intern,SUNDARAM FINANCE LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Pune,SEM,PPC,Email Marketing,Google Analytics
162,HR Generalist Intern,ASHOK LEYLAND LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Delhi,Employee Relations,Onboarding,HR Policies,
163,Real Estate Analyst Intern,ALEMBIC PHARMACEUTICALS LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Chennai,Financial Modeling,Market Analysis,Real Estate Valuation,
164,Human Resources Intern,HAVELLS INDIA LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Noida,MS Office,Communication,,
165,Healthcare Management Intern,EXIDE INDUSTRIES LIMITED,Support the operations and management of our healthcare facilities.,MBA (Healthcare),Healthcare,Pune,Healthcare Operations,Patient Care,Data Analysis,
166,HR Generalist Intern,NIRMA LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Noida,Employee Relations,Onboarding,HR Policies,
167,Recruitment Intern,INTAS PHARMACEUTICALS LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Noida,Sourcing,Interviewing,Applicant Tracking Systems,
168,Management Consultant Intern,ATC TELECOM INFRASTRUCTURE PRIVATE LIMITED,"Work on client projects, conducting research and analysis to solve business problems.",MBA/B.Tech,Consulting,Jaipur,Problem Solving,Data Analysis,Client Communication,
169,Business Intelligence Intern,ADITYA BIRLA FINANCE LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Delhi,Power BI,Tableau,SQL,Data Warehousing
170,Travel Operations Intern,JOHN DEERE INDIA PRIVATE LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Delhi,Booking Systems,Itinerary Planning,Vendor Management,
171,Frontend Developer Intern,NHDC LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Hyderabad,HTML,CSS,JavaScript,React
172,Technology Consultant Intern,BHARTI TELEMEDIA LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Work From Home,IT Strategy,System Implementation,Digital Transformation,
173,Brand Management Intern,SRF LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Gurugram,Marketing Strategy,Brand Positioning,Market Research,
174,Real Estate Analyst Intern,YARDI SOFTWARE INDIA PRIVATE LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Work From Home,Financial Modeling,Market Analysis,Real Estate Valuation,
175,Healthcare Management Intern,CULVER MAX ENTERTAINMENT PRIVATE LIMITED,Support the operations and management of our healthcare facilities.,MBA (Healthcare),Healthcare,Pune,Healthcare Operations,Patient Care,Data Analysis,
176,HR Generalist Intern,DHARAMPAL SATYAPAL LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Hyderabad,Employee Relations,Onboarding,HR Policies,
177,HR Generalist Intern,BHILOSA INDUSTRIES PRIVATE LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Hyderabad,Employee Relations,Onboarding,HR Policies,
178,Hotel Management Intern,J. K. CEMENT LIMITED.,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Delhi,F&B Management,Housekeeping,Guest Relations,
179,Product Design Intern,TVS MOTOR COMPANY LIMITED,"Contribute to the end-to-end design process, from user research to final UI.",B.Des/Any Graduate,Design,Jaipur,User Research,Prototyping,UI Design,
180,Product Design Intern,BA CONTINUUM INDIA PRIVATE LIMITED,"Contribute to the end-to-end design process, from user research to final UI.",B.Des/Any Graduate,Design,Hyderabad,User Research,Prototyping,UI Design,
181,Frontend Developer Intern,COCA COLA INDIA PRIVATE LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Jaipur,HTML,CSS,JavaScript,React
182,Investment Banking Intern,ENGINEERS INDIA LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
183,Brand Management Intern,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Noida,Marketing Strategy,Brand Positioning,Market Research,
184,Investment Banking Intern,MOIL LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
185,Technology Consultant Intern,HDFC LIFE INSURANCE COMPANY LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Jaipur,IT Strategy,System Implementation,Digital Transformation,
186,Data Analyst Intern,THE RAMCO CEMENTS LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
187,Recruitment Intern,GUJARAT GAS LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
188,Financial Analyst Intern,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Hyderabad,Excel,Financial Modeling,Valuation,
189,Hospitality Intern,DCM SHRIRAM LIMITED,Gain experience in hotel operations and guest services.,BHM,Travel & Hospitality,Delhi,Customer Service,Event Management,Front Office Operations,
190,Backend Developer Intern,L&T TECHNOLOGY SERVICES LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Jaipur,Python,Django,SQL,REST APIs
191,Human Resources Intern,ORACLE INDIA PRIVATE LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Kolkata,MS Office,Communication,,
192,Financial Analyst Intern,BERGER PAINTS INDIA LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Chennai,Excel,Financial Modeling,Valuation,
193,Travel Operations Intern,IDFC FIRST BANK LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Jaipur,Booking Systems,Itinerary Planning,Vendor Management,
194,UI/UX Design Intern,HPCL-MITTAL ENERGY LIMITED,"Create wireframes, mockups, and prototypes for our web and mobile applications.",Any Graduate,Design,Bengaluru,Figma,Adobe XD,Wireframing,Prototyping
195,Sales & Marketing Intern,PNB HOUSING FINANCE LIMITED,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Work From Home,Sales,FMCG,Marketing,
196,R&D Intern,TATA CHEMICALS LIMITED,Assist scientists in research and development of new pharmaceutical products.,M.Pharm/M.Sc,Pharmaceuticals,Ahmedabad,Laboratory Techniques,Data Analysis,Scientific Writing,
197,UI/UX Design Intern,FINOLEX INDUSTRIES LIMITED,"Create wireframes, mockups, and prototypes for our web and mobile applications.",Any Graduate,Design,Delhi,Figma,Adobe XD,Wireframing,Prototyping
198,Graphic Design Intern,GLAND PHARMA LTD,"Design graphics for social media, websites, and marketing materials.",12th Pass,Design,Hyderabad,Adobe Photoshop,Illustrator,Canva,
199,Hardware Engineer Intern,GUJARAT STATE PETRONET LIMITED,Contribute to the design and testing of electronic circuits and hardware.,B.Tech (ECE),Electronics,Work From Home,Verilog,VHDL,PCB Design,
200,Recruitment Intern,WELLS FARGO INTERNATIONAL SOLUTIONS PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Kolkata,Sourcing,Interviewing,Applicant Tracking Systems,
201,Data Scientist Intern,ERICSSON INDIA PRIVATE LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
202,Recruitment Intern,HONEYWELL AUTOMATION INDIA LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Hyderabad,Sourcing,Interviewing,Applicant Tracking Systems,
203,Sales & Marketing Intern,ORISSA METALIKS PRIVATE LIMITED,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Noida,Sales,FMCG,Marketing,
204,Manufacturing Intern,AMARA RAJA ENERGY & MOBILITY LIMITED,Support the production team in optimizing manufacturing processes.,B.Tech (Mech/Prod),Automobile,Hyderabad,Lean Manufacturing,Six Sigma,Process Improvement,
205,Consumer Electronics Intern,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"Assist in product marketing, market research, or technical support for home appliances or electronics.",BBA,Electronics,Jaipur,Marketing,Product Management,,
206,Recruitment Intern,HSBC ELECTRONIC DATA PROCESSING INDIA PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Chennai,Sourcing,Interviewing,Applicant Tracking Systems,
207,Quality Assurance Intern,BHARAT DYNAMICS LIMITED,Ensure compliance with quality standards and regulations in drug manufacturing.,B.Pharm/M.Sc,Pharmaceuticals,Delhi,GMP,GLP,Validation,
208,Sales & Marketing Intern,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Noida,Sales,FMCG,Marketing,
209,Technology Consultant Intern,ATLAS COPCO (INDIA) PRIVATE LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Jaipur,IT Strategy,System Implementation,Digital Transformation,
210,Sports Management Intern,MAHANAGAR GAS LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Delhi,Event Planning,Sponsorship,Athlete Management,
211,Technology Consultant Intern,COCHIN SHIPYARD LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Work From Home,IT Strategy,System Implementation,Digital Transformation,
212,Real Estate Analyst Intern,IPCA LABORATORIES LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Pune,Financial Modeling,Market Analysis,Real Estate Valuation,
213,Human Resources Intern,THE SUPREME INDUSTRIES LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Jaipur,MS Office,Communication,,
214,Manufacturing Intern,PARLE BISCUITS PRIVATE LIMITED,Support the production team in optimizing manufacturing processes.,B.Tech (Mech/Prod),Automobile,Chennai,Lean Manufacturing,Six Sigma,Process Improvement,
215,Travel Operations Intern,CATERPILLAR INDIA PRIVATE LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Ahmedabad,Booking Systems,Itinerary Planning,Vendor Management,
216,SEO Analyst Intern,INDRAPRASTHA GAS LIMITED,"Conduct keyword research, optimize website content, and build backlinks.",Any Graduate,Marketing,Delhi,Google Analytics,Keyword Research,On-page SEO,
217,Management Consultant Intern,ADANI ENTERPRISES LIMITED,"Work on client projects, conducting research and analysis to solve business problems.",MBA/B.Tech,Consulting,Work From Home,Problem Solving,Data Analysis,Client Communication,
218,Data Analyst Intern,BENNETT COLEMAN AND COMPANY LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
219,Recruitment Intern,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
220,Hotel Management Intern,KARNATAKA POWER TRANSMISSION CORPORATION LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Gurugram,F&B Management,Housekeeping,Guest Relations,
221,Sports Marketing Intern,KIRAN GEMS PRIVATE LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
222,Travel Operations Intern,BHARAT FORGE LTD,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Noida,Booking Systems,Itinerary Planning,Vendor Management,
223,HR Generalist Intern,EIT SERVICES INDIA PRIVATE LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Work From Home,Employee Relations,Onboarding,HR Policies,
224,Technology Consultant Intern,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Work From Home,IT Strategy,System Implementation,Digital Transformation,
225,Strategy & Analytics Intern,BHARAT BIOTECH INTERNATIONAL LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Noida,Analytics,PowerPoint,Excel,
226,Process Engineer Intern,NAYARA ENERGY LIMITED,Analyze and improve manufacturing processes for efficiency and quality.,B.Tech (Chem),Manufacturing,Gurugram,Process Optimization,Chemical Engineering,AutoCAD,
227,HR Generalist Intern,VARSITY EDUCATION MANAGEMENT PRIVATE LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Hyderabad,Employee Relations,Onboarding,HR Policies,
228,Data Scientist Intern,APOLLO TYRES LIMITED.,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
229,Technology Consultant Intern,PETRONET LNG LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Jaipur,IT Strategy,System Implementation,Digital Transformation,
230,Real Estate Analyst Intern,AJANTA PHARMA LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Work From Home,Financial Modeling,Market Analysis,Real Estate Valuation,
231,Production Intern,MAZAGON DOCK SHIPBUILDERS LIMITED,Learn and assist in the day-to-day manufacturing and production operations.,B.Tech (Prod/Mech),Manufacturing,Delhi,Manufacturing Processes,Safety,Quality Control,
232,Data Scientist Intern,NOKIA SOLUTIONS AND NETWORKS INDIA PRIVATE LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
233,Recruitment Intern,NATIONAL PAYMENTS CORPORATION OF INDIA,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Noida,Sourcing,Interviewing,Applicant Tracking Systems,
234,Sports Marketing Intern,ARAVALI POWER COMPANY PRIVATE LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Hyderabad,Digital Marketing,Brand Partnerships,Fan Engagement,
235,Digital Marketing Intern,ADANI HAZIRA PORT LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Pune,SEM,PPC,Email Marketing,Google Analytics
236,UI/UX Design Intern,HDFC SECURITIES LIMITED,"Create wireframes, mockups, and prototypes for our web and mobile applications.",Any Graduate,Design,Pune,Figma,Adobe XD,Wireframing,Prototyping
237,Software QA Intern,AARTI INDUSTRIES LTD,Perform quality assurance testing on software and services for our products.,B.Tech,IT,Delhi,Software Testing,QA,iOS,
238,Full Stack Developer Intern,PATAKA INDUSTRIES PRIVATE LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Jaipur,JavaScript,Node.js,React,MongoDB
239,Business Intelligence Intern,KANSAI NEROLAC PAINTS LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Noida,Power BI,Tableau,SQL,Data Warehousing
240,Cloud Engineering Intern,TATA CAPITAL FINANCIAL SERVICES LIMITED,"Work with our cloud infrastructure team to deploy, manage, and monitor cloud services.",B.Tech,IT,Jaipur,AWS,Azure,Docker,Kubernetes
241,Full Stack Developer Intern,ADANI WILMAR LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Kolkata,JavaScript,Node.js,React,MongoDB
242,HR Generalist Intern,TATA CONSUMER PRODUCTS LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Delhi,Employee Relations,Onboarding,HR Policies,
243,Travel Operations Intern,GHARDA CHEMICALS LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Ahmedabad,Booking Systems,Itinerary Planning,Vendor Management,
244,Hardware Engineer Intern,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,Contribute to the design and testing of electronic circuits and hardware.,B.Tech (ECE),Electronics,Hyderabad,Verilog,VHDL,PCB Design,
245,Medical Research Intern,IL&FS TAMIL NADU POWER COMPANY LIMITED,Assist with ongoing clinical research projects and data analysis.,MBBS/B.Pharm,Healthcare,Kolkata,Clinical Trials,Data Collection,Statistical Analysis,
246,Travel Operations Intern,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Pune,Booking Systems,Itinerary Planning,Vendor Management,
247,Strategy & Analytics Intern,CUMMINS INDIA LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
248,Travel Operations Intern,SOBHA LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Pune,Booking Systems,Itinerary Planning,Vendor Management,
249,Recruitment Intern,EDGEVERVE SYSTEMS LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
250,Data Analyst Intern,PERSISTENT SYSTEMS LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Bengaluru,Python,Pandas,SQL,Tableau
251,Content Writer Intern,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Write articles, blog posts, and other content for our website and marketing channels.",Any Graduate,Marketing,Hyderabad,Creative Writing,Blogging,SEO Writing,
252,Sports Management Intern,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Jaipur,Event Planning,Sponsorship,Athlete Management,
253,Strategy & Analytics Intern,MAHASHIAN DI HATTI PRIVATE LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
254,Social Media Marketing Intern,CITICORP SERVICES INDIA PRIVATE LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
255,Business Intelligence Intern,MICRO LABS LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Delhi,Power BI,Tableau,SQL,Data Warehousing
256,Medical Research Intern,EQUITAS SMALL FINANCE BANK LIMITED,Assist with ongoing clinical research projects and data analysis.,MBBS/B.Pharm,Healthcare,Ahmedabad,Clinical Trials,Data Collection,Statistical Analysis,
257,Data Scientist Intern,RSPL LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Noida,Python,R,Machine Learning,Statistics
258,Sports Management Intern,TAMILNAD MERCANTILE BANK LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Ahmedabad,Event Planning,Sponsorship,Athlete Management,
259,Frontend Developer Intern,UTKAL ALUMINA INTERNATIONAL LIMITED.,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
260,Real Estate Analyst Intern,UNITED SPIRITS LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Pune,Financial Modeling,Market Analysis,Real Estate Valuation,
261,Content Writer Intern,DLF LIMITED,"Write articles, blog posts, and other content for our website and marketing channels.",Any Graduate,Marketing,Work From Home,Creative Writing,Blogging,SEO Writing,
262,Social Media Marketing Intern,BAGMANE DEVELOPERS PRIVATE LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Chennai,Facebook Ads,Instagram Marketing,Content Creation,
263,Financial Analyst Intern,VOLTAS LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Ahmedabad,Excel,Financial Modeling,Valuation,
264,Social Media Marketing Intern,GAWAR CONSTRUCTION LIMITED.,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Work From Home,Facebook Ads,Instagram Marketing,Content Creation,
265,Data Analyst Intern,ATUL LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
266,Data Analyst Intern,TORRENT PHARMACEUTICALS LTD,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Chennai,Python,Pandas,SQL,Tableau
267,Sports Marketing Intern,AIA ENGINEERING LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Ahmedabad,Digital Marketing,Brand Partnerships,Fan Engagement,
268,Sports Management Intern,MODERN ROAD MAKERS P LTD,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Hyderabad,Event Planning,Sponsorship,Athlete Management,
269,Process Engineer Intern,BAYER CROPSCIENCE LIMITED,Analyze and improve manufacturing processes for efficiency and quality.,B.Tech (Chem),Manufacturing,Gurugram,Process Optimization,Chemical Engineering,AutoCAD,
270,Cloud Engineering Intern,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"Work with our cloud infrastructure team to deploy, manage, and monitor cloud services.",B.Tech,IT,Hyderabad,AWS,Azure,Docker,Kubernetes
271,Production Intern,MACROTECH DEVELOPERS LIMITED,Learn and assist in the day-to-day manufacturing and production operations.,B.Tech (Prod/Mech),Manufacturing,Jaipur,Manufacturing Processes,Safety,Quality Control,
272,Full Stack Developer Intern,RITES LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Kolkata,JavaScript,Node.js,React,MongoDB
273,Investment Banking Intern,GODAWARI POWER AND ISPAT LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Hyderabad,Valuation,DCF,M&A,Excel
274,Human Resources Intern,CORTEVA AGRISCIENCE SEEDS PRIVATE LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Jaipur,MS Office,Communication,,
275,Process Engineer Intern,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,Analyze and improve manufacturing processes for efficiency and quality.,B.Tech (Chem),Manufacturing,Jaipur,Process Optimization,Chemical Engineering,AutoCAD,
276,Backend Developer Intern,CITY UNION BANK LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Ahmedabad,Python,Django,SQL,REST APIs
277,Investment Banking Intern,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Delhi,Valuation,DCF,M&A,Excel
278,Recruitment Intern,TOPCON SOKKIA INDIA PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
279,Social Media Marketing Intern,LAURUS LABS LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Delhi,Facebook Ads,Instagram Marketing,Content Creation,
280,Human Resources Intern,INGRAM MICRO INDIA PRIVATE LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Jaipur,MS Office,Communication,,
281,Backend Developer Intern,THE CLEARING CORPORATION OF INDIA LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Ahmedabad,Python,Django,SQL,REST APIs
282,Full Stack Developer Intern,SBI GENERAL INSURANCE COMPANY LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Work From Home,JavaScript,Node.js,React,MongoDB
283,Site Reliability Engineer Intern,TATA COMMUNICATIONS LIMITED,Help build and maintain the reliability of our large-scale production systems.,B.Tech,IT,Gurugram,Linux,Networking,Python,
284,Financial Analyst Intern,TATA POWER DELHI DISTRIBUTION LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Hyderabad,Excel,Financial Modeling,Valuation,
285,Hotel Management Intern,GODREJ SEEDS & GENETICS LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
286,Business Intelligence Intern,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
287,Strategy & Analytics Intern,KOTAK MAHINDRA PRIME LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
288,Full Stack Developer Intern,BRAHMAPUTRA CRACKER AND POLYMER LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Delhi,JavaScript,Node.js,React,MongoDB
289,Recruitment Intern,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Noida,Sourcing,Interviewing,Applicant Tracking Systems,
290,Sports Analytics Intern,PATANJALI AYURVED LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Kolkata,Statistics,Python,SQL,Data Visualization
291,Recruitment Intern,MSPL LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Delhi,Sourcing,Interviewing,Applicant Tracking Systems,
292,Sales & Marketing Intern,LIC HOUSING FINANCE LTD,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Work From Home,Sales,FMCG,Marketing,
